,Fide id,Federation,Gender,Year_of_birth,Title,Standard_Rating,Rapid_rating,Blitz_rating,Inactive_flag,firstName,lastName
7150,34517936,TUR,F,2005.0,WCM,1859,1931.0,1469.0,wa,Kara, Gulce Nehir
7151,4188527,RUS,F,1994.0,none,1859,1899.0,1810.0,wi,Karavaeva, Anastasia
7152,942090,SRB,F,1959.0,none,1859,1931.0,1925.0,wi,Kovacs, Marija
7153,3526224,CUB,F,2003.0,none,1859,1931.0,1925.0,wa,Machado Rojas, Gleidis Yisel
7154,14199220,UKR,F,2007.0,none,1859,1820.0,1692.0,wa,Manko, Mariya
7155,4121929,RUS,F,1942.0,WIM,1859,1938.0,1871.0,wa,Melnik, Galina
7156,913693,SRB,F,1991.0,none,1859,1893.0,1824.0,wa,Milivojevic, Jasmina
7157,2244101,ESP,F,1998.0,none,1859,1867.0,1890.0,wi,Picazo Gonzalez, Ana
7158,2119730,BRA,F,1995.0,none,1859,1849.0,1870.0,wa,Ramillo,Vitoria Matheus
7159,5022886,IND,F,1980.0,none,1859,1931.0,1925.0,wi,Rupumoni, Duwara
7160,1105574,POL,F,1981.0,none,1859,1691.0,1925.0,wa,Smolenska, Olga
7161,1270843,GER,F,1967.0,none,1859,1883.0,1925.0,wa,Strate, Gerda
7162,1137956,POL,F,1990.0,none,1859,1931.0,1925.0,wi,Swieszek, Joanna
7163,769800,HUN,F,1999.0,none,1859,1580.0,1779.0,wa,Szuhai, Beata Barbara
7164,5103444,MEX,F,1996.0,WCM,1859,1931.0,1775.0,wa,Torres Rosas, Rita Rosalia
7165,8601330,ENG,F,1984.0,none,1859,1868.0,1925.0,wa,Zhu, Yaoyao
7166,4613244,GER,F,1958.0,none,1859,1931.0,1839.0,wa,Zwetz, Anita
7167,2261464,ESP,F,1985.0,none,1858,1931.0,1925.0,wi,Cordero Pedrosa, Elena
7168,802786,ITA,F,1994.0,none,1858,1931.0,1925.0,wi,Fiorentino, Francesca
7169,3517977,CUB,F,2000.0,none,1858,1931.0,1925.0,wi,Garcia Vigoa, Maythee
7170,727776,HUN,F,1987.0,none,1858,1931.0,1925.0,wi,Jachym, Dorina
7171,2107910,BRA,F,1993.0,none,1858,1931.0,1925.0,wi,Januario, Thais Maia
7172,640514,FRA,F,1987.0,none,1858,1931.0,1925.0,wi,L'Huillier, Helene
7173,2006456,USA,F,1993.0,none,1858,1931.0,1925.0,wi,Liu, Jennie S
7174,24671428,GER,F,1990.0,none,1858,1931.0,1925.0,wa,Lowke, Kathrin
7175,1122347,POL,F,1986.0,none,1858,1788.0,1617.0,wa,Mackiewicz, Anna
7176,12401846,VIE,F,1990.0,WFM,1858,1931.0,1925.0,wi,Mai, Thien Kim Ngoc Diep
7177,12803391,LTU,F,1987.0,none,1858,1931.0,1925.0,wi,Mieliauskaite, Zivile
7178,4400631,COL,F,1995.0,none,1858,1859.0,1772.0,wi,Mora, Monica
7179,4100190,RUS,F,1993.0,none,1858,1931.0,1925.0,wi,Nikologorskaya, Tatiana
7180,1270353,GER,F,1958.0,none,1858,1931.0,1925.0,wi,Plauth-Herr, Sabine
7181,16202643,GER,F,1969.0,none,1858,1931.0,1925.0,wi,Pracht, Alexandra
7182,4406168,COL,F,1997.0,none,1858,1724.0,1720.0,wi,Renteria, Manuela
7183,3519007,CUB,F,1999.0,none,1858,1931.0,1925.0,wi,Rios Cobo, Chabeli
7184,3511596,CPV,F,1988.0,none,1858,1918.0,1875.0,wa,Rodriguez Guevara, Celia M.
7185,5019729,IND,F,1988.0,none,1858,1850.0,1925.0,wi,Sneha, Ghatpande
7186,2023822,USA,F,1978.0,none,1858,1931.0,1925.0,wi,Sobel, Simone L
7187,14545594,CRO,F,1971.0,none,1858,1818.0,1925.0,wi,Sutic, Mirjana
7188,4502990,EST,F,2001.0,none,1858,1782.0,1751.0,wa,Tonso, Liina
7189,745227,HUN,F,1993.0,none,1858,1931.0,1925.0,wi,Virag, Kinga
7190,24190110,RUS,F,1989.0,none,1857,1846.0,1933.0,wi,Antipina, Mariya
7191,9002286,MAR,F,1991.0,WFM,1857,1961.0,1925.0,wi,Arif, Fadoua
7192,3518604,CUB,F,1998.0,none,1857,1931.0,1871.0,wi,Arruebarrena Barrueta, Yasleny
7193,14003406,TKM,F,1990.0,none,1857,1855.0,1925.0,wi,Djoraeva, Govkher
7194,4624548,GER,F,1991.0,none,1857,1931.0,1925.0,wi,Herbold, Nora Marina
7195,733687,HUN,F,1989.0,none,1857,1931.0,1925.0,wi,Komlodi, Ivett
7196,4454740,COL,F,1991.0,none,1857,1931.0,1838.0,wi,Lopez, Karol Bibiana
7197,5101743,MEX,F,1991.0,WCM,1857,1854.0,1860.0,wi,Mejia Salinas, Lluvia Angelica
7198,12404012,VIE,F,2001.0,none,1857,1618.0,1660.0,wi,Nguyen, Xuan Nhi
7199,1413040,DEN,F,1985.0,none,1857,1821.0,1925.0,wa,Nielsen, Marianne Izaura
7200,4209982,GRE,F,1985.0,none,1857,1931.0,1925.0,wi,Pavlogianni, Despina
7201,12426512,VIE,F,1994.0,none,1857,1931.0,1925.0,wa,Pham, Nhu Y
7202,2112493,BRA,F,1982.0,none,1857,1858.0,1925.0,wi,Prior, Marciane
7203,1631217,AUT,F,1973.0,none,1857,1856.0,1837.0,wi,Schmidbauer, Andrea
7204,24148474,RUS,F,1990.0,none,1857,1931.0,1925.0,wi,Serushova, Yulia
7205,5022916,IND,F,1990.0,none,1857,1931.0,1925.0,wi,Shradha, Mohanan
7206,3901181,VEN,F,1985.0,none,1857,1871.0,1925.0,wi,Silva, Maria
7207,6305237,TUR,F,1990.0,none,1857,1931.0,1925.0,wi,Suslu, Ozlem
7208,1050036,NED,F,2003.0,none,1857,1842.0,1692.0,wa,Warnaar, Alisha
7209,6300286,TUR,F,1997.0,none,1856,1931.0,1925.0,wi,Abdimanoglu, Beste Basak
7210,16500245,MNE,F,1995.0,none,1856,1812.0,1815.0,wi,Bacic, Kristina
7211,4406338,COL,F,1994.0,none,1856,1858.0,1859.0,wa,Chavez, Diana Maria
7212,8608105,CHN,F,1997.0,none,1856,1931.0,1930.0,wi,Fu, Yuting
7213,2115263,BRA,F,1988.0,none,1856,1931.0,1925.0,wi,Garcia, Laura Fecchio
